Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Falabella Equipo Corporativo
4.2",Data Scientist,Chile,chile,"Descripción empresa:
SomosFalabella

Somos Falabella Retail, Sodimac, Tottus, Banco Falabella, Linio, Falabella.com, Fazil, Fpay, Mall Plaza, Falabella Corporativo, Falabella Inmobiliario, Ikea.

Nos gusta innovar, trabajamos desde donde queremos estar, respetamos y valoramos la diversidad, incluimos a todas las personas y derribamos barreras porque acá las diferencias suman.

Disfrutamos y lo pasamos bien trabajando en equipo, aceptando las diferencias por nuestra identidad de género, orientación sexual, creencias religiosas, discapacidad, edad o nacionalidad, compartimos experiencias entre negocios, vibramos con los desafíos del mundo físico y digital.

Somos más de 100 mil personas en 9 países distintos que cada día trabajamos como un equipo por simplificar y disfrutar más la vida.


¡Si tienes una mente inquieta y te gusta soñar en grande, este llamado es para ti!

En Falabella Financiero buscamos un Data Scientist para sumarse al equipo de Gerencia de Data Factory.

Somos Falabella, UN equipo diverso con más de 100 mil colaboradores compuesto por grandes marcas: Falabella Retail, Sodimac, Banco Falabella, Seguros Falabella, Tottus, Mallplaza, Open Plaza y Linio. Hoy tenemos presencia en 7 países de America Latina, además de oficinas en China e India.

Cada día es diferente, trabajamos en equipo, con compromiso, buscando siempre superar las expectativas de nuestros clientes. Si eres una persona que se apasiona por el trabajo dinámico y el desafío constante ¡Esta es tu oportunidad de hacer que las cosas pasen!

El desafío principal del cargo es proponer e implementar soluciones analíticas a diferentes problemáticas e iniciativas de negocio trabajando de la mano con los clientes internos aplicando metodologías estadísticas y de Machine Learning.


Somos una empresa que apoya la Ley 21015, apoyamos la diversidad y la inclusión en todas sus formas, independientemente de la religión, la raza, el género, la situación de la discapacidad, la nacionalidad.

Nos enfocamos en Tu Talento!


3 años de experiencia en Data Science
SQL
Phyton intermedio
Herramientas de Bigquery GCP


Súmate a nuestro equipo y se parte de la transformación de Falabella:

1. Postula a la oferta.
2. Revisa tu email.",,,10000+ Employees,Retail & Wholesale,$10+ billion (USD),,4.1,82 %,90 %,,3.9,3.8,4.0,3.8,3.8,,,61,https://www.glassdoor.com/Reviews/Falabella-Reviews-E10976.htm,
"OpenSistemas
3.3",First Job Data Scientist (Remoto),Chile,chile,"¿Estás buscando nuevos horizontes y retos profesionales?

La innovación es el alma de OpenSistemas. Es la clave principal de nuestros proyectos de tecnología con los que acompañamos al éxito a nuestros clientes desde una perspectiva disruptiva.

Nuestro propósito es trabajar en proyectos que generen un cambio positivo en la sociedad. Si quieres formar parte de esta revolución, ¡sigue leyendo!

Qué es lo más importante para nosotros

Creemos que hay dos elementos principales que nos ayudan a lograr nuestro objetivo: nuestra cultura, basada en el crecimiento profesional y personal de nuestra gente, y la confianza en la relación organización-persona.

Por ello, te acompañaremos en tu desarrollo continuo con formaciones y certificaciones que te ayuden a crecer aún más como profesional y potenciar tu carrera .

OpenSistemas es una empresa internacional con una cultura abierta, diversa e inclusiva en la que destaca el trabajo en equipo entre compañeros y compañeras de distintas partes del mundo. Llevamos muchos años, incluso antes de la pandemia, apostando por el modelo remote-first, lo que nos convierte en una compañía abierta, respetuosa y conciliadora con las personas que trabajan aquí.

En la misma línea, tenemos el compromiso de apoyar y promover el conocimiento compartido y abierto a través de las comunidades tecnológicas, por lo que participamos en los eventos clave del sector y patrocinamos meetups tecnológicos como los de las comunidades de Machine Learning Spain y DataBeers Meetup Sevilla. Fomentamos la asistencia a eventos y facilitamos la participación de nuestro equipo en ellos.

Además, nos gusta encontrarnos, reír, bailar al ritmo de nuestra OpenBand (formada por personas de la compañía), y para ello organizamos nuestras ya míticas Open Parties.

¿Qué te hará conseguir el éxito?

Medio - Alto.


Python, C#, Java

R, Numpy

Tableau...

SQL

Necesario estar cursando o haber cursado estudios relacionados Matemáticas, Física, Ingenierías.

¿Por qué te gustará trabajar con nosotros?

Contrato indefinido y estabilidad laboral.

100% teletrabajo. La persona debe residir en España, Colombia, Chile, Uruguay o Paraguay.

Plan de carrera y revisiones salariales, para que tu nómina crezca contigo.

Si te ilusiona esta experiencia profesional y personal, ¡inscríbete a la oferta! Nos encantará conocerte : )

¿Nos conocemos mejor?",,,51 to 200 Employees,Unknown / Non-Applicable,,,3.3,44 %,62 %,,3.0,3.3,3.1,2.9,4.0,,,61,https://www.glassdoor.com/Reviews/OpenSistemas-Reviews-E1157074.htm,
,Data Scientist,Chile,chile,"Publicada hace 16 días por
Redbus Urbano
Jornada Completa
Otro Profesional
Región Metropolitana de Santiago
Huechuraba
En Redbus Urbano, seguimos creciendo.
Estamos buscando a un/a nuevo/a “Data Scientist”, para incorporarse a nuestra Gerencia de desarrollo comercial.

¿Qué esperamos del puesto?
Tu misión será realizar análisis de movilidad para los distintos procesos de licitación y generar recomendaciones para la toma de decisión buscando responder a necesidades concretas para los modelos de negocios. Prestar apoyo para el mejoramiento de los contratos vigentes

Tus funciones principales serán;

Requisitos;

Otros;

¿Por qué sumarme al equipo de Redbus Urbano?
Somos parte de la Red Metropolitana de Movilidad y, como tal, trabajamos para conectar a nuestra ciudad, ofreciendo soluciones seguras de transporte y trasladando a más de 350.000 personas cada día.",,,,,,,,,,,,,,,,,,61,,
"Energy Fitness Clubs
3.8",Data Scientist,Chile,chile,"Publicada hace 9 días por
ENERGY FITNESS CLUBS S.P.A.
Jornada Completa
Ingeniero
Región Metropolitana de Santiago
Vitacura
Realizar la recopilación y procesamiento de datos a gran escala; Diseñar y desarrollar aplicaciones de datos utilizando herramientas y marcos seleccionados; Desarrollar consultas con bases de datos con SQL o PL/SQL Desarrollar modelos estadísticos, por ejemplo, con Python o R. Realizar análisis del entorno y diseñar sistemas de reporting para la visualización de los datos (sobre todo en business intelligence); Realizar informes de análisis de datos ad hoc y periódicos; Realizar el procesamiento de los datos no estructurados en un formato adecuado para su análisis, generación de KPI/reportes o extracción de información; Realizar la atención y solución de requerimientos e incidencias producidas por soluciones de Analíticas",,,201 to 500 Employees,Personal Consumer Services,Unknown / Non-Applicable,,3.8,100 %,N/A,,3.8,3.4,3.4,3.4,3.0,,,61,https://www.glassdoor.com/Reviews/Energy-Fitness-Clubs-Reviews-E620508.htm,
"IBM
4.1",Data Scientist,Chile,chile,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Understand opportunities or problems and plan how they will be addressed to create a data product that focuses on early capture of business value and adoption by the organization.
Integrate data sources if required and suggest new ones to improve the analysis.
Apply statistical analysis to understand data (distribution, correlations and outliers).",,,10000+ Employees,Information Technology Support Services,Information Technology,$10+ billion (USD),4.1,83 %,89 %,3.7,4.0,3.5,4.1,3.7,4.1,,,61,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,https://www.glassdoor.com/Benefits/IBM-Benefits-E354.htm
"Grupo Premier
3.0",Data Scientist,Las Condes,chile,"Descripción empresa:
En Grupo Premier Chile trabajamos para convertirnos en el mejor operador de restaurantes en Chile basado en el desarrollo de las personas, y de este modo contribuir a crear un mundo mejor.

¡Somos personas transformando la industria de Fast Food Premium!

Si te interesa trabajar en un lugar divertido, flexible, donde el foco sean las personas y el desarrollo profesional, te invitamos a postular a nuestra vacante de: ¡¡Data Scientist!!

Tendrás como principal función: El análisis de la data de la compañía, a fin de levantar diversas hipótesis que permitan entender y predecir el comportamiento de las distintas áreas y con esto entregar la información relevante para toma de las decisiones estratégicas de la compañía.

Misión del cargo:
El análisis y predicción del comportamiento de distintas áreas.



Formación profesional en Estadística, Matemáticas, Informática, Ingeniería, o carrera a fin.
Experiencia de al menos 2 años en análisis cuantitativo o modelo de datos.
Experiencia en modelo predictivo, aprendizaje automático, técnicas de agrupación y algoritmos
Fluidez en un lenguaje de programación (Python, C,C++, Java, SQL)
Familiaridad con marcos de Big Data y herramientas de visualización



El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.


1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,Unknown,,,,3.0,50 %,N/A,,2.7,2.1,3.1,2.8,2.1,,,61,,
"Fusemachines
3.0",Data Scientist,Chile,chile,"About Fusemachines
Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees) Fusemachines seeks to bring its global expertise in AI to transform companies around the world.
Job functions
We are looking for intellectually curious, highly motivated individuals to join our Data Science & Analytics team. You will partner with our Engineering, Product, and Operations teams to identify critical issues to the business, develop a deep understanding of them, and design scalable solutions. You will leverage your quantitative and modeling skills to transform signals into insights, and insights into actions. You should have strong analytical skills, excellent communication abilities, and a knack for working across teams in a fast-paced environment.",,,51 to 200 Employees,Information Technology,Unknown / Non-Applicable,,3.0,64 %,N/A,4.5,3.0,2.6,3.2,2.7,3.3,,,61,https://www.glassdoor.com/Reviews/Fusemachines-Reviews-E1402803.htm,https://www.glassdoor.com/Benefits/Fusemachines-Benefits-E1402803.htm
"Entel
4.2",Experto Data Scientist,Las Condes,chile,"Descripción empresa:
Sabemos que quieres cambiar el mundo y transformar con responsabilidad nuestra sociedad. Por eso, en Entel podrás encontrar un espacio de desarrollo, diverso e inclusivo, donde tu propia identidad y talento es bienvenido.

Funciones del cargo:
Somos una empresa en estado de innovación permanente, operadora líder de telecomunicaciones y tecnología en Chile, con una creciente operación en Perú.

Nos encontramos en la búsqueda de un Especialista Data Scientist, quien tendra que generar insights independientemente, basados en analítica moderna e innovadora y métodos estadísticos de data Science, predecir y comunicar recomendaciones relevantes, que permitan maximizar eficiencia en la gestión y facilite la toma de decisiones. Mejorar proactivamente los métodos analíticos del área, estando atento a los desarrollos de la ciencia y las nuevas tecnologías.

Algunas de tus funciones seran...


Ing. matemático, Ing. informático, Ing. Industrial, Economista, Estadístico o Actuario de Datos
Experiencia en Big Data
Ingles Intermedio



El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.


1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,1001 to 5000 Employees,Telecommunications,$1 to $5 billion (USD),,4.1,90 %,N/A,,3.9,3.9,4.3,3.8,4.0,,,61,https://www.glassdoor.com/Reviews/Entel-Reviews-E380614.htm,
"Equifax
3.9",Data Scientist Intermediate,Las Condes,chile,"Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.
Equifax is looking for an experienced Data Scientist, who will be responsible for attributes development, testing, and delivery with Python in our technical environment, leveraging advanced data and analytical methodologies, AI, ML/DL to design and deliver attributes bundles based on use cases.
This individual is also capable of data delivery, design of data structures (AVRO schema), and processes balancing immediate deliverables with future reusability, while evangelizing best practices for data solution architecture. This individual will promote a culture of creativity, problem-solving, experimentation, innovation, and execution. The ability to be detail-oriented, highly organized, and priority-driven are a must in order to be successful in this fast-paced environment.",,,10000+ Employees,Research & Development,Management & Consulting,$1 to $5 billion (USD),3.9,75 %,86 %,3.3,3.8,3.8,3.8,3.6,3.9,,,61,https://www.glassdoor.com/Reviews/Equifax-Reviews-E232.htm,https://www.glassdoor.com/Benefits/Equifax-Benefits-E232.htm
"Fusemachines
3.0",Senior Data Scientist,Chile,chile,"About Fusemachines
Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees) Fusemachines seeks to bring its global expertise in AI to transform companies around the world.
About the role
This is a remote, consulting position
Role scope",,,51 to 200 Employees,Information Technology,Unknown / Non-Applicable,,3.0,64 %,N/A,4.5,3.0,2.6,3.2,2.7,3.3,,,61,https://www.glassdoor.com/Reviews/Fusemachines-Reviews-E1402803.htm,https://www.glassdoor.com/Benefits/Fusemachines-Benefits-E1402803.htm
"The Bridge Social
4.1",Data Scientist,Chile,chile,"Descripción:
Somos The Bridge
The Bridge es la red de profesionales digitales más grande de LATAM con más de 230 mil rockstars. Startups, scale-ups, grandes empresas y consultorías de todo el mundo trabajan con nosotros para conseguir los proyectos más desafiantes e impactantes. ¿Estás listo para participar en el desafío?

La Posición
Estamos buscando al próximo cambio de juego que se una al equipo como Data Scientist. Para considerar este rol debes estar ubicado en Santiago - Chile .",,,51 to 200 Employees,Internet & Web Services,Information Technology,$1 to $5 million (USD),4.3,85 %,N/A,,4.1,3.7,4.0,4.1,4.3,,,61,https://www.glassdoor.com/Reviews/The-Bridge-Social-Reviews-E2842905.htm,
Redbus Urbano,Data Scientist,Chile,chile,"En Redbus Urbano, seguimos creciendo.
Estamos buscando a un/a nuevo/a “Data Scientist”, para incorporarse a nuestra Gerencia de desarrollo comercial.

¿Qué esperamos del puesto?
Tu misión será realizar análisis de movilidad para los distintos procesos de licitación y generar recomendaciones para la toma de decisión buscando responder a necesidades concretas para los modelos de negocios. Prestar apoyo para el mejoramiento de los contratos vigentes

Tus funciones principales serán;
Dimensionar volumen de negocio y cifras relevantes para procesos de licitación B2B y B2G.
Elaborar estimación de demanda y productividad.

Requisitos;

Otros;

¿Por qué sumarme al equipo de Redbus Urbano?
Somos parte de la Red Metropolitana de Movilidad y, como tal, trabajamos para conectar a nuestra ciudad, ofreciendo soluciones seguras de transporte y trasladando a más de 350.000 personas cada día.
REQUISITOS Estudios mínimos: Universitaria Carreras: Ingeniería en Geografía , Ingeniería en Transporte Requisitos Minimos: - Ingeniero Civil en Geografía o Ingeniero Civil en Transportes.",,,,,,,,,,,,,,,,,,61,,
"Association of Universities for Research in Astronomy
3.5","Scientific Staff Positions, Astronomer/Scientist Tracks",La Serena,chile,"NSF’s NOIRLab (National Optical Infrared Astronomy Research Laboratory) invites applications for one or more scientific staff positions based at Gemini Observatory in La Serena, Chile. The successful candidates will conduct independent astronomical research and support the scientific operations of Gemini South. The positions could be on either the Scientist (emphasis on service roles with 20% time for independent research) or Astronomer (up to 50% time for independent research) tracks. Applications from candidates at all career stages will be considered.
NOIRLab is the preeminent US national center for ground-based, nighttime optical and infrared astronomy. The mission of NOIRLab is to enable breakthrough discoveries in astrophysics by developing and operating state-of-the-art ground-based observatories and providing data products and services for a diverse and inclusive community. NOIRLab is a Federally Funded Research and Development Center that operates as a matrix organization with approximately 400 employees providing services across a range of programs: Gemini Observatory, Vera C. Rubin Observatory, Mid-Scale Observatory (Cerro Tololo Inter-American Observatory and Kitt Peak National Observatory), and the Community Science and Data Center.",,,501 to 1000 Employees,Colleges & Universities,Education,$25 to $100 million (USD),3.5,58 %,68 %,4.6,3.0,4.1,3.2,2.7,3.2,,,61,https://www.glassdoor.com/Reviews/Association-of-Universities-for-Research-in-Astronomy-Reviews-E32763.htm,https://www.glassdoor.com/Benefits/Association-of-Universities-for-Research-in-Astronomy-Benefits-E32763.htm
"Association of Universities for Research in Astronomy
3.5",Adaptive Optics Scientist,La Serena,chile,"NSF’s NOIRLab has an immediate opening for an Adaptive Optics (AO) Scientist for the International Gemini Observatory. The AO Scientist will participate in the development and operation of the AO facilities at the Gemini South facility in La Serena, Chile. The successful candidate is expected to use approximately 20% of their time to carry out original and innovative research. We are committed to diversity and inclusion at Gemini Observatory. Our managing organization, AURA, as a leader in the astronomical community, develops and supports programs that advance our organizational commitment to diversity, broaden participation, and encourage the advancement of diversity throughout the astronomical scientific workforce. Learn more at http://www.aura-astronomy.org/diversity.asp
The NSF's NOIRLab is an AURA-managed center headquartered in Tucson, Arizona that integrates the operations of the Gemini Observatory, the Vera C. Rubin Observatory, Mid-Scale Observatories (MSO), and Community Science and Data Center (CSDC) as a matrix organization with facilities in Arizona, Chile and Hawai`i.",,,501 to 1000 Employees,Colleges & Universities,Education,$25 to $100 million (USD),3.5,58 %,68 %,4.6,3.0,4.1,3.2,2.7,3.2,,,61,https://www.glassdoor.com/Reviews/Association-of-Universities-for-Research-in-Astronomy-Reviews-E32763.htm,https://www.glassdoor.com/Benefits/Association-of-Universities-for-Research-in-Astronomy-Benefits-E32763.htm
,Ingeniero en Data Scientist,Chile,chile,"Publicada hace 31 días por
Empresa Confidencial
Jornada Completa
Analista
Región Metropolitana de Santiago
Las Condes
Destacada Empresa Líder en Gestión y Optimización de Recursos del Medio Ambiente, desea incorporar a su equipo un Ing de Data Scientist quien tendrá proponer, desarrollar,diseñar e implementar soluciones tecnológicas a la captura de transmision, limpieza almacenamiento y procesos de base de datos mediante modelos descriptivos, predictivos y prescriptivos.

Queremos contar contigo para:
Desarrollara captura de transmisión, limpieza almacenamiento y procesos de base de datos scripts para data sets file based, conexiones a WSs y otros.
Desarrollara métodos estadísticos orientados a la análisis , visualización y reporting y alertas
Colabora con con la automatización y generación de reportes de Kpi?
Manejara plataformas con PBI, Datastudio, data science, Python, entre otros.
Participar en nuevos proyectos asociados a transformación digital.
Presentación de formaciones y elaboración de material de soporte lenguajes API, WSs, JSON",,,,,,,,,,,,,,,,,,61,,
"Bnamericas Spa
3.1",Data Scientist,Chile,chile,"Bnamericas busca incorporar un profesional Científico de Datos para su equipo de Producto y Estrategia. El trabajo es 100% remoto y se inicia en Octubre 2022.

Principales desafíos y responsabilidades del rol

Participar en el desarrollo de proyectos en los que tendrá que:
Crear nuevos productos y funcionalidades, basados en datos y visualización de datos.
Optimizar campañas de marketing y esfuerzos comerciales.
Iniciativas de Business Intelligence
Iniciativas para captar y mejorar contenidos.
Requisitos:

Interesados, enviar CV con expectativas de salario a",,,Unknown,Information Technology,Unknown / Non-Applicable,,3.1,62 %,N/A,,2.7,2.9,3.3,2.7,3.5,,,61,https://www.glassdoor.com/Reviews/Business-News-Americas-Reviews-E489304.htm,
"Bain & Company
4.5","Senior Manager, Data Science",Las Condes,chile,"We offer an 80% working model for our South America Advanced Analytics Group team members with Fridays being a non-working day. Please submit CVs in English to be considered for this role
Company Overview

Bain & Company is one of the world's leading global business consulting firms, serving clients across six continents. It was founded in 1973 on the principle that consultants must measure their success in terms of their clients' financial results. Bain's clients have outperformed the stock market 4 to 1. With offices in all major cities, Bain has worked with over 4,150 major multinational and other corporations from every economic sector, in every region of the world.

A career at Bain & Company will provide the opportunity to learn in a collaborative teaming environment, drive impact to support our 'Results' mission statement. The firm has a passionate and rich culture that offers an unparalleled business experience that can carry throughout a career. We hire dynamic individuals that are dedicated to achieving both personal and professional goals. To learn more about the firm, please visit www.bain.com.

Position Summary

This is an opportunity to be a part of Bain’s expanding data science capability area. This position will be part of the Advanced Analytics Group (Bain’s team of data science, engineering, decision science and primary research experts). Responsibilities will include working closely with the Advanced Analytics Group (AAG) and Bain’s consulting teams to provide high quality results for our clients, some of the most successful and pioneering businesses in the world. This will include helping formulate and driving our evolving strategy on how to best support our clients on large data/heavily analytic initiatives.The person in this role will need to:

Responsibilities & Duties

Qualifications",,,5001 to 10000 Employees,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.5,93 %,96 %,4.8,4.6,4.4,4.6,4.3,3.4,,,61,https://www.glassdoor.com/Reviews/Bain-and-Company-Reviews-E3752.htm,https://www.glassdoor.com/Benefits/Bain-and-Company-Benefits-E3752.htm
"ENERGY FITNESS CLUBS S.P.A.
3.8",Data Scientist,Chile,chile,"Realizar la recopilación y procesamiento de datos a gran escala; Diseñar y desarrollar aplicaciones de datos utilizando herramientas y marcos seleccionados; Desarrollar consultas con bases de datos con SQL o PL/SQL Desarrollar modelos estadísticos, por ejemplo, con Python o R. Realizar análisis del entorno y diseñar sistemas de reporting para la visualización de los datos (sobre todo en business intelligence); Realizar informes de análisis de datos ad hoc y periódicos; Realizar el procesamiento de los datos no estructurados en un formato adecuado para su análisis, generación de KPI/reportes o extracción de información; Realizar la atención y solución de requerimientos e incidencias producidas por soluciones de Analíticas REQUISITOS Estudios mínimos: Universitaria Carreras: Ingeniería Civil Industrial , Ingeniería Industrial Requisitos Minimos: -Ingeniero Civil
Conocimiento en Business Objects, SQL, sistemas XLM
2 años de Experiencia CONTRATO Tipo de contrato: Jornada Completa Duracion: Jornada Laboral: Jornada Completa",,,201 to 500 Employees,Personal Consumer Services,Unknown / Non-Applicable,,3.8,100 %,N/A,,3.8,3.4,3.4,3.4,3.0,,,61,https://www.glassdoor.com/Reviews/Energy-Fitness-Clubs-Reviews-E620508.htm,
"Entel
4.2",Especialista Senior Data Scientist,Las Condes,chile,"Descripción empresa:
Sabemos que quieres cambiar el mundo y transformar con responsabilidad nuestra sociedad. Por eso, en Entel podrás encontrar un espacio de desarrollo, diverso e inclusivo, donde tu propia identidad y talento es bienvenido.

Funciones del cargo:
Somos una empresa en estado de innovación permanente, operadora líder de telecomunicaciones y tecnología en Chile, con una creciente operación en Perú.

Nos encontramos en la búsqueda de un Especialista Data Scientist, quien tendra que generar insights independientemente, basados en analítica moderna e innovadora y métodos estadísticos de data Science, predecir y comunicar recomendaciones relevantes, que permitan maximizar eficiencia en la gestión y facilite la toma de decisiones. Mejorar proactivamente los métodos analíticos del área, estando atento a los desarrollos de la ciencia y las nuevas tecnologías.

Algunas de tus funciones seran...

¡Te esperamos!


Ing. matemático, Ing. informático, Ing. Industrial, Economista,
2 años de experiencia en áreas de big data
ingles intermedio



El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.


1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,1001 to 5000 Employees,Telecommunications,$1 to $5 billion (USD),,4.1,90 %,N/A,,3.9,3.9,4.3,3.8,4.0,,,61,https://www.glassdoor.com/Reviews/Entel-Reviews-E380614.htm,
"Uber
3.8",Engineering Manager II - Chile,Chile,chile,"About the Role
As an Engineering Manager at Uber, you will be leading a group of engineers working with product managers, data scientists and other engineering teams to build identity platform solutions globally which are used by all Uber users. We are Uber’s first Tech Center in LATAM and part of the global Engineering team!
The Vehicles Org's vision is to empower suppliers with an innovative platform that enables the industry’s leading marketplace for suppliers and earners while creating new opportunities for Uber.
We own the end-to-end enterprise ecosystem which enables all the earners (drivers/couriers) on the Uber platform who need access to an asset (vehicles, bikes, scooters, etc) & you will own driving the overall mission of this ecosystem.
This is a unique opportunity for an experienced engineer who has a healthy sense of curiosity and acts with a responsibility to join Uber, work with hardworking people across the board and help improve our next-generation search and mapping systems, scaling them to the next level.",,,10000+ Employees,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,79 %,81 %,3.4,3.6,3.7,3.8,3.5,3.9,,,61,https://www.glassdoor.com/Reviews/Uber-Reviews-E575263.htm,https://www.glassdoor.com/Benefits/Uber-Benefits-E575263.htm
